제품명,제조사,카테고리,성분,샘플추천지수,출처URL
훼스탈플러스정,한독,소화제,셀룰라제|판크레아틴|시메티콘|우르소데옥시콜산,83,https://www.health.kr/
겔포스엠현탁액,보령,제산제,인산알루미늄겔|수산화마그네슘|시메티콘,77,https://www.health.kr/
알마겔에프현탁액,유한양행,제산제,알마게이트,75,https://www.health.kr/
개비스콘더블액션현탁액,옥시레킷벤키저,제산·역류완화제,탄산칼슘|알긴산나트륨|탄산수소나트륨,85,https://www.health.kr/
둘코락스에스장용정,오펠라헬스케어코리아,변비약,비사코딜|도큐세이트나트륨,88,https://www.health.kr/
스멕타현탁액,대웅제약,지사제,디옥타헤드랄스멕타이트,80,https://www.health.kr/
후시딘연고,동화약품,피부외용제,퓨시드산나트륨,74,https://www.health.kr/
마데카솔케어연고,동국제약,피부외용제,네오마이신황산염|센텔라아시아티카정량추출물,83,https://www.health.kr/
비판텐연고,바이엘코리아,피부보호제,덱스판테놀,83,https://www.health.kr/
케토톱플라스타,한독,외용진통제,케토프로펜,88,https://www.health.kr/
신신파스아렉스,신신제약,외용진통제,니코틴산벤질|DL-캄파|L-멘톨|박하유|살리실산메틸|노닐산바닐릴아미드,75,https://www.health.kr/
오라메디연고,동국제약,구강외용제,트리암시놀론아세토니드,80,https://www.health.kr/
아프니벤큐액,코오롱제약,구강·인후제,디클로페낙,82,https://www.health.kr/
베타딘인후스프레이,지피테라퓨틱스코리아,구강·인후제,포비돈요오드,76,https://www.health.kr/
헥사메딘액0.12%(200mL),부광약품,구강·인후제,클로르헥시딘글루콘산염액,79,https://www.health.kr/
