성분명,분류,설명,출처URL
세티리진염산염,항히스타민 성분,알레르기성 비염·두드러기 증상 완화에 사용,https://www.health.kr/
로라타딘,항히스타민 성분,알레르기 증상 완화에 사용,https://www.health.kr/
펙소페나딘염산염,항히스타민 성분,알레르기성 비염 등의 증상 완화에 사용,https://www.health.kr/
아세틸시스테인,거담 성분,점액을 묽게 해 가래 배출을 돕는 데 사용,https://www.health.kr/
행인,생약 성분,기침·가래 관련 생약 복합제에 사용,https://www.health.kr/
감초가루,생약 성분,기침·가래 관련 생약 복합제에 사용,https://www.health.kr/
길경가루,생약·거담 성분,도라지 유래 성분으로 기침·가래 제품에 사용,https://www.health.kr/
세네가가루,생약·거담 성분,거담 목적으로 일부 생약 복합제에 사용,https://www.health.kr/
아선약가루,생약 성분,일부 기침·가래 생약 복합제에 사용,https://www.health.kr/
인삼가루,생약 성분,일부 생약 복합제에 사용,https://www.health.kr/
노스카핀,진해 성분,기침을 완화하는 데 사용,https://www.health.kr/
행인가루,생약 성분,기침·가래 관련 생약 복합제에 사용,https://www.health.kr/
디아스타제·프로테아제·셀룰라제,소화효소 성분,탄수화물·단백질·식이섬유의 소화를 돕는 효소 복합물,https://www.health.kr/
리파제,소화효소 성분,지방 소화를 돕는 효소,https://www.health.kr/
판셀라제,소화효소 성분,소화를 돕는 효소 성분,https://www.health.kr/
판프로신,소화효소 성분,단백질 등의 소화를 돕는 효소 성분,https://www.health.kr/
판크레아틴장용과립,소화효소 성분,탄수화물·단백질·지방 소화를 돕는 효소 혼합물,https://www.health.kr/
시메티콘,가스 제거 성분,위장관 내 가스와 복부 팽만 완화에 사용,https://www.health.kr/
우르소데옥시콜산,담즙산 성분,담즙 분비 및 소화 관련 복합제에 사용,https://www.health.kr/
셀룰라제,소화효소 성분,식물성 섬유 분해를 돕는 효소,https://www.health.kr/
판크레아틴,소화효소 성분,탄수화물·단백질·지방 소화를 돕는 효소 혼합물,https://www.health.kr/
인산알루미늄겔,제산 성분,위산을 중화하는 데 사용,https://www.health.kr/
수산화마그네슘,제산·완하 성분,제산 또는 변비 완화 목적으로 사용,https://www.health.kr/
알마게이트,제산 성분,위산을 중화해 속쓰림·위산 과다 증상 완화에 사용,https://www.health.kr/
탄산칼슘,제산 성분,위산을 중화하는 데 사용,https://www.health.kr/
알긴산나트륨,위산 역류 완화 성분,위 내용물의 역류 증상 완화에 도움,https://www.health.kr/
탄산수소나트륨,제산 성분,위산을 중화하는 데 사용,https://www.health.kr/
비사코딜,자극성 완하 성분,변비 완화를 위해 장운동을 촉진,https://www.health.kr/
도큐세이트나트륨,변 연화 성분,변을 부드럽게 해 배변을 돕는 데 사용,https://www.health.kr/
디옥타헤드랄스멕타이트,장 점막 보호·흡착 성분,설사 증상 완화를 위해 사용,https://www.health.kr/
퓨시드산나트륨,항균 성분,일부 피부 세균 감염 치료에 사용,https://www.health.kr/
네오마이신황산염,항균 성분,일부 외용제에 사용되는 항생 성분,https://www.health.kr/
센텔라아시아티카정량추출물,피부 보호 관련 성분,상처 부위 피부 회복 보조 목적으로 사용,https://www.health.kr/
덱스판테놀,피부 보호 성분,피부 보습·보호 및 회복 보조에 사용,https://www.health.kr/
케토프로펜,비스테로이드성 소염진통 성분,외용 소염진통제로 사용,https://www.health.kr/
니코틴산벤질,국소 자극·순환 보조 성분,외용 진통 제품에 사용,https://www.health.kr/
DL-캄파,국소 자극 성분,외용 진통·소염 제품 등에 사용,https://www.health.kr/
L-멘톨,국소 청량 성분,피부에 청량감을 주고 불편감 완화에 사용,https://www.health.kr/
박하유,생약·청량 성분,외용 제품에서 청량감을 주는 데 사용,https://www.health.kr/
살리실산메틸,국소 진통 성분,근육·관절 부위의 외용 진통 제품에 사용,https://www.health.kr/
노닐산바닐릴아미드,국소 자극 성분,외용 진통 제품에 사용,https://www.health.kr/
트리암시놀론아세토니드,코르티코스테로이드 성분,구강 등 국소 염증 완화에 사용,https://www.health.kr/
디클로페낙,비스테로이드성 소염진통 성분,통증과 염증 완화에 사용,https://www.health.kr/
포비돈요오드,살균 소독 성분,구강·인후 등에서 살균·소독 목적으로 사용,https://www.health.kr/
클로르헥시딘글루콘산염액,살균 소독 성분,구강·인후의 살균·소독에 사용,https://www.health.kr/
